"Date","Price","Open","High","Low","Vol.","Change %"
"24/04/2012","100.37","99.86","100.72","99.80","17.61K","0.36%"
"23/04/2012","100.01","100.35","100.38","99.62","11.45K","-0.45%"
"20/04/2012","100.46","101.02","101.02","99.73","15.86K","-0.59%"
"19/04/2012","101.06","101.83","102.26","100.75","15.33K","-0.76%"
"18/04/2012","101.83","101.98","102.68","101.33","16.87K","-0.06%"
"17/04/2012","101.89","101.20","102.05","100.90","12.44K","0.85%"
"16/04/2012","101.03","101.66","101.70","100.36","11.03K","-0.36%"
"13/04/2012","101.40","102.23","102.64","101.28","11.72K","-1.12%"
"12/04/2012","102.55","101.64","102.82","101.42","22.42K","1.05%"
"11/04/2012","101.48","100.25","101.89","100.02","18.39K","1.33%"
"10/04/2012","100.15","102.20","102.20","100.05","13.97K","-2.06%"
"05/04/2012","102.26","102.51","103.03","101.26","19.42K","-0.24%"
"04/04/2012","102.51","104.10","104.17","102.28","18.26K","-1.80%"
"03/04/2012","104.39","104.72","104.83","104.00","6.57K","-0.32%"
"02/04/2012","104.73","104.82","105.56","104.55","9.90K","0.15%"
"30/03/2012","104.57","103.98","104.67","103.80","9.72K","0.95%"
"29/03/2012","103.59","104.68","104.68","103.25","30.00K","-0.99%"
"28/03/2012","104.63","104.63","105.05","104.05","14.38K","0.15%"
"27/03/2012","104.47","105.23","105.25","104.30","11.43K","-0.76%"
"26/03/2012","105.27","105.02","105.72","104.98","9.06K","0.41%"
"23/03/2012","104.84","104.75","105.25","103.83","19.63K","0.13%"
"22/03/2012","104.70","105.47","105.66","104.45","15.60K","-0.58%"
"21/03/2012","105.31","106.00","106.32","105.25","11.49K","-0.78%"
"20/03/2012","106.14","106.59","106.75","106.07","6.76K","-0.50%"
"19/03/2012","106.67","106.41","107.00","106.39","6.22K","0.24%"
"16/03/2012","106.41","106.60","106.85","106.12","4.68K","0.05%"
"15/03/2012","106.36","106.44","106.78","106.14","6.55K","-0.13%"
"14/03/2012","106.50","106.20","106.69","105.96","11.30K","0.42%"
"13/03/2012","106.05","106.06","106.50","105.88","7.10K","0.19%"
"12/03/2012","105.85","106.64","106.64","105.74","5.24K","-0.58%"
"09/03/2012","106.47","106.59","107.80","106.12","14.99K","-2.94%"
"08/03/2012","109.70","108.72","110.20","108.60","1.90K","1.20%"
"07/03/2012","108.40","107.17","108.73","106.65","17.24K","1.02%"
"06/03/2012","107.31","108.01","108.30","106.91","23.92K","-1.00%"
"05/03/2012","108.39","108.42","108.68","107.91","19.14K","-0.18%"
"02/03/2012","108.59","108.14","108.72","107.36","14.90K","0.42%"
"01/03/2012","108.14","106.15","108.63","106.15","22.31K","1.87%"
"29/02/2012","106.15","104.94","106.43","104.94","15.13K","1.21%"
"28/02/2012","104.88","104.22","105.04","104.22","14.94K","0.66%"
"27/02/2012","104.19","104.08","104.48","103.58","13.86K","0.32%"
"24/02/2012","103.86","103.42","104.28","103.33","7.99K","0.53%"
"23/02/2012","103.31","103.38","103.48","102.75","10.76K","-0.14%"
"22/02/2012","103.45","103.70","103.97","103.04","18.39K","-0.42%"
"21/02/2012","103.89","102.89","104.64","102.81","15.36K","0.30%"
"20/02/2012","103.58","103.30","103.94","102.73","10.22K","0.83%"
"17/02/2012","102.73","102.50","103.25","102.08","11.06K","0.96%"
"16/02/2012","101.75","101.31","102.42","100.10","20.66K","0.13%"
"15/02/2012","101.62","102.96","103.18","101.02","14.00K","-1.11%"
"14/02/2012","102.76","102.16","102.90","101.75","10.82K","0.10%"
"13/02/2012","102.66","102.80","103.57","102.40","9.64K","0.19%"
"10/02/2012","102.47","103.68","103.71","102.17","14.44K","-0.98%"
"09/02/2012","103.48","102.46","104.12","101.77","15.15K","0.89%"
"08/02/2012","102.57","102.67","103.38","102.16","12.96K","0.08%"
"07/02/2012","102.49","102.18","103.19","101.45","11.38K","0.11%"
"06/02/2012","102.38","101.71","102.40","100.70","13.12K","0.74%"
"03/02/2012","101.63","102.35","102.94","101.35","15.01K","-0.66%"
"02/02/2012","102.31","102.00","102.50","100.70","19.05K","0.46%"
"01/02/2012","101.84","99.80","102.03","99.43","19.98K","2.44%"
"31/01/2012","99.41","98.65","99.87","98.65","11.50K","0.72%"
"30/01/2012","98.70","99.73","99.74","97.74","20.15K","-1.32%"
"27/01/2012","100.02","98.95","100.58","98.72","12.65K","1.16%"
"26/01/2012","98.87","97.70","99.48","97.69","14.93K","1.38%"
"25/01/2012","97.52","98.08","98.08","96.85","8.11K","-0.49%"
"24/01/2012","98.00","98.18","98.90","97.32","12.18K","-0.24%"
"23/01/2012","98.24","97.24","99.01","97.20","11.53K","1.15%"
"20/01/2012","97.12","96.65","97.45","96.07","8.95K","0.83%"
"19/01/2012","96.32","95.81","96.57","95.69","9.57K","0.34%"
"18/01/2012","95.99","95.27","96.24","94.65","11.68K","0.76%"
"17/01/2012","95.27","94.85","95.73","94.75","9.11K","0.86%"
"16/01/2012","94.46","93.20","94.66","92.11","8.30K","0.27%"
"13/01/2012","94.21","94.40","95.69","93.05","17.66K","-0.18%"
"12/01/2012","94.38","92.00","94.88","91.90","16.85K","2.86%"
"11/01/2012","91.76","91.07","92.30","91.07","13.22K","1.00%"
"10/01/2012","90.85","90.89","91.12","90.45","5.60K","0.18%"
"09/01/2012","90.69","90.71","91.31","90.40","4.93K","-0.08%"
"06/01/2012","90.76","91.15","91.15","90.34","7.44K","-0.27%"
"05/01/2012","91.01","92.12","92.12","90.69","7.60K","-1.10%"
"04/01/2012","92.02","92.03","92.55","91.85","4.29K","-0.32%"
"03/01/2012","92.32","92.09","92.72","91.85","4.44K","-0.06%"
"02/01/2012","92.38","91.65","92.55","91.46","1.73K","0.84%"
"30/12/2011","91.61","91.30","91.87","91.03","1.69K","0.22%"
"29/12/2011","91.41","91.50","91.64","90.65","9.16K","-0.15%"
"28/12/2011","91.55","92.25","93.43","91.40","4.97K","-0.60%"
"27/12/2011","92.10","91.90","92.10","91.28","2.07K","0.09%"
"26/12/2011","92.01","92.01","92.01","92.01","","-0.07%"
"23/12/2011","92.08","92.84","92.87","91.36","2.41K","-0.81%"
"22/12/2011","92.83","93.14","93.90","92.48","3.31K","-0.55%"
"21/12/2011","93.34","94.60","95.75","92.32","8.15K","-1.18%"
"20/12/2011","94.45","92.82","94.97","92.82","7.30K","1.66%"
"19/12/2011","92.91","91.17","93.48","91.08","3.60K","1.26%"
"16/12/2011","91.75","92.33","93.47","91.52","7.03K","-0.16%"
"15/12/2011","91.90","90.05","92.25","89.55","9.23K","1.75%"
"14/12/2011","90.32","90.90","91.73","89.86","7.95K","-0.91%"
"13/12/2011","91.15","91.70","91.85","90.61","8.94K","-0.87%"
"12/12/2011","91.95","93.40","93.40","90.00","11.07K","-1.35%"
"09/12/2011","93.21","92.68","93.68","90.91","16.14K","-3.38%"
"08/12/2011","96.47","96.81","97.71","96.27","2.78K","-0.23%"
"07/12/2011","96.69","97.85","98.99","96.17","14.87K","-1.44%"
"06/12/2011","98.10","97.58","98.83","96.86","17.38K","0.53%"
"05/12/2011","97.58","93.40","97.93","93.40","23.82K","5.15%"
"02/12/2011","92.80","93.27","94.71","92.63","11.86K","-0.29%"
"01/12/2011","93.07","90.60","93.39","90.60","14.18K","2.50%"
"30/11/2011","90.80","88.93","91.01","88.48","14.85K","1.63%"
"29/11/2011","89.34","89.33","89.49","88.36","18.75K","-0.08%"
"28/11/2011","89.41","91.94","92.00","89.25","6.20K","0.08%"
"25/11/2011","89.34","90.37","90.37","88.62","5.89K","-0.77%"
"24/11/2011","90.03","90.87","91.31","89.88","6.88K","-0.69%"
"23/11/2011","90.66","91.34","91.34","90.17","6.02K","-1.02%"
"22/11/2011","91.59","92.66","92.85","91.18","12.26K","-1.24%"
"21/11/2011","92.74","92.51","93.10","91.80","9.37K","0.00%"
"18/11/2011","92.74","90.99","92.79","90.77","10.95K","1.55%"
"17/11/2011","91.32","89.98","91.50","88.80","13.79K","1.13%"
"16/11/2011","90.30","89.73","91.88","89.25","14.25K","0.55%"
"15/11/2011","89.81","91.99","92.00","89.32","15.50K","-2.54%"
"14/11/2011","92.15","93.92","94.70","91.51","20.56K","-1.61%"
"11/11/2011","93.66","91.87","94.15","91.21","15.27K","2.92%"
"10/11/2011","91.00","88.00","92.17","87.64","28.62K","1.92%"
"09/11/2011","89.29","93.45","93.45","87.46","25.29K","-3.67%"
"08/11/2011","92.69","92.76","93.79","92.32","12.90K","-0.70%"
"07/11/2011","93.34","95.50","95.60","92.67","15.94K","-1.95%"
"04/11/2011","95.20","96.70","96.85","94.93","9.70K","-1.40%"
"03/11/2011","96.55","96.50","97.04","94.96","9.57K","-0.05%"
"02/11/2011","96.60","96.81","97.77","96.05","6.96K","-0.01%"
"01/11/2011","96.61","97.15","97.15","95.16","11.10K","-0.54%"
"31/10/2011","97.13","97.50","97.65","96.57","10.27K","-0.78%"
"28/10/2011","97.89","99.05","99.05","97.56","12.25K","-1.09%"
"27/10/2011","98.97","99.00","100.10","98.81","9.17K","0.52%"
"26/10/2011","98.46","98.46","98.79","98.10","7.88K","0.07%"
"25/10/2011","98.39","98.28","98.52","98.06","4.53K","0.11%"
"24/10/2011","98.28","98.80","98.80","98.20","3.73K","-0.45%"
"21/10/2011","98.72","97.89","99.00","97.68","9.95K","0.71%"
"20/10/2011","98.02","98.67","98.80","97.57","7.82K","-0.82%"
"19/10/2011","98.83","99.01","99.15","98.52","7.12K","-0.11%"
"18/10/2011","98.94","99.39","99.39","98.68","4.28K","-0.53%"
"17/10/2011","99.47","99.95","100.00","99.40","3.65K","0.06%"
"14/10/2011","99.41","99.21","99.55","98.85","5.71K","0.08%"
"13/10/2011","99.33","100.08","100.08","99.11","12.41K","-0.67%"
"12/10/2011","100.00","100.62","100.62","99.80","6.54K","-0.62%"
"11/10/2011","100.62","100.84","100.94","100.44","3.75K","-0.27%"
"10/10/2011","100.89","101.05","101.05","100.74","3.53K","-0.14%"
"07/10/2011","101.03","101.23","101.27","100.40","4.91K","-0.22%"
"06/10/2011","101.25","100.45","101.55","100.45","8.24K","0.72%"
"05/10/2011","100.53","100.40","100.68","100.06","7.85K","-0.09%"
"04/10/2011","100.62","100.00","100.80","99.99","5.82K","0.30%"
"03/10/2011","100.32","100.00","100.77","99.63","4.67K","0.06%"
"30/09/2011","100.26","100.00","100.82","99.90","7.00K","0.25%"
"29/09/2011","100.01","99.29","100.25","99.03","14.72K","0.67%"
"28/09/2011","99.34","99.15","99.79","99.07","5.38K","-0.45%"
"27/09/2011","99.79","99.59","100.00","99.31","7.54K","0.51%"
"26/09/2011","99.28","100.00","100.00","98.77","5.35K","-0.03%"
"23/09/2011","99.31","98.86","99.83","98.74","6.74K","0.09%"
"22/09/2011","99.22","98.40","99.39","97.65","9.64K","0.69%"
"21/09/2011","98.54","98.89","98.89","98.31","8.55K","-0.46%"
"20/09/2011","99.00","99.01","99.79","98.50","6.47K","-0.85%"
"19/09/2011","99.85","99.75","99.98","99.35","4.38K","-0.66%"
"16/09/2011","100.51","100.00","101.59","99.65","7.42K","0.74%"
"15/09/2011","99.77","99.86","100.35","99.63","9.57K","0.02%"
"14/09/2011","99.75","98.81","100.13","98.53","8.43K","0.53%"
"13/09/2011","99.22","100.15","100.46","98.34","17.65K","-0.69%"
