"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2022","124.40","126.33","126.33","124.40","","-1.53%"
"08/11/2022","126.33","128.33","128.33","126.33","","-1.56%"
"07/11/2022","128.33","136.28","136.28","128.33","","-0.09%"
"04/11/2022","128.44","136.28","136.28","128.44","","-5.75%"
"03/11/2022","136.28","141.17","141.17","136.28","","-3.46%"
"02/11/2022","141.17","148.42","148.42","141.17","","-4.88%"
"01/11/2022","148.42","147.92","148.42","147.92","","0.34%"
"31/10/2022","147.92","142.78","147.92","142.78","","2.30%"
"28/10/2022","144.60","142.78","144.60","142.78","","1.27%"
"27/10/2022","142.78","140.20","142.78","140.20","","1.84%"
"26/10/2022","140.20","147.78","147.78","140.20","","-5.13%"
"25/10/2022","147.78","154.02","154.02","147.78","","-4.05%"
"24/10/2022","154.02","155.61","155.61","154.02","","-1.87%"
"21/10/2022","156.95","155.61","156.95","155.61","","0.86%"
"20/10/2022","155.61","147.73","155.61","147.73","","5.33%"
"19/10/2022","147.73","145.79","147.73","145.79","","1.33%"
"18/10/2022","145.79","150.42","150.42","145.79","","-3.08%"
"17/10/2022","150.42","155.08","155.08","150.42","","-1.62%"
"14/10/2022","152.89","155.08","155.08","152.89","","-1.41%"
"13/10/2022","155.08","160.72","160.72","155.08","","-3.51%"
"12/10/2022","160.72","155.57","160.72","155.57","","3.31%"
"11/10/2022","155.57","148.46","155.57","148.46","","4.79%"
"07/10/2022","148.46","153.29","153.29","148.46","","-3.15%"
"06/10/2022","153.29","152.01","153.29","152.01","","0.84%"
"05/10/2022","152.01","151.21","152.01","151.21","","0.53%"
"04/10/2022","151.21","152.94","152.94","151.21","","-1.13%"
"03/10/2022","152.94","148.14","152.94","148.14","","7.79%"
"30/09/2022","141.89","148.14","148.14","141.89","","-4.22%"
"29/09/2022","148.14","158.99","158.99","148.14","","-6.82%"
"28/09/2022","158.99","158.12","158.99","158.12","","0.55%"
"27/09/2022","158.12","153.61","158.12","153.61","","2.94%"
"26/09/2022","153.61","131.93","153.61","131.93","","11.90%"
"23/09/2022","137.28","131.93","137.28","131.93","","4.06%"
"22/09/2022","131.93","130.54","131.93","130.54","","1.06%"
"21/09/2022","130.54","134.66","134.66","130.54","","-3.06%"
"20/09/2022","134.66","133.79","134.66","133.79","","0.65%"
"19/09/2022","133.79","124.07","133.79","124.07","","7.07%"
"16/09/2022","124.95","124.07","124.95","124.07","","0.71%"
"15/09/2022","124.07","125.35","125.35","124.07","","-1.02%"
"14/09/2022","125.35","128.87","128.87","125.35","","-2.73%"
"13/09/2022","128.87","123.07","128.87","123.07","","4.71%"
"12/09/2022","123.07","124.14","124.14","123.07","","1.26%"
"09/09/2022","121.54","124.14","124.14","121.54","","-8.70%"
"07/09/2022","133.12","133.54","133.54","133.12","","-0.31%"
"06/09/2022","133.54","120.72","133.54","120.72","","10.62%"
"02/09/2022","120.72","126.58","126.58","120.72","","-4.63%"
"01/09/2022","126.58","124.84","126.58","124.84","","1.39%"
"31/08/2022","124.84","127.69","127.69","124.84","","-2.23%"
"30/08/2022","127.69","130.14","130.14","127.69","","-1.88%"
"29/08/2022","130.14","126.33","130.14","126.33","","5.85%"
"26/08/2022","122.95","126.33","126.33","122.95","","-2.68%"
"25/08/2022","126.33","133.13","133.13","126.33","","-5.11%"
"24/08/2022","133.13","133.85","133.85","133.13","","-0.54%"
"23/08/2022","133.85","135.89","135.89","133.85","","-1.50%"
"22/08/2022","135.89","120.26","135.89","120.26","","9.76%"
"19/08/2022","123.81","120.26","123.81","120.26","","2.95%"
"18/08/2022","120.26","117.70","120.26","117.70","","2.18%"
"17/08/2022","117.70","116.83","117.70","116.83","","0.74%"
"16/08/2022","116.83","113.82","116.83","113.82","","2.64%"
"15/08/2022","113.82","111.11","113.82","111.11","","7.09%"
"12/08/2022","106.28","111.11","111.11","106.28","","-4.35%"
"11/08/2022","111.11","115.26","115.26","111.11","","-3.60%"
"10/08/2022","115.26","125.12","125.12","115.26","","-7.88%"
"09/08/2022","125.12","124.12","125.12","124.12","","0.81%"
"08/08/2022","124.12","120.57","124.12","120.57","","1.26%"
"05/08/2022","122.58","120.57","122.58","120.57","","1.67%"
"04/08/2022","120.57","122.04","122.04","120.57","","-1.20%"
"03/08/2022","122.04","129.23","129.23","122.04","","-5.56%"
"02/08/2022","129.23","120.50","129.23","120.50","","7.24%"
"01/08/2022","120.50","119.93","120.50","119.93","","3.56%"
"29/07/2022","116.36","119.93","119.93","116.36","","-2.98%"
"28/07/2022","119.93","117.28","119.93","117.28","","2.26%"
"27/07/2022","117.28","128.55","128.55","117.28","","-8.77%"
"26/07/2022","128.55","128.27","128.55","128.27","","0.22%"
"25/07/2022","128.27","121.15","128.27","121.15","","3.69%"
"22/07/2022","123.70","121.15","123.70","121.15","","2.10%"
"21/07/2022","121.15","122.90","122.90","121.15","","-1.42%"
"20/07/2022","122.90","124.70","124.70","122.90","","-1.44%"
"19/07/2022","124.70","127.69","127.69","124.70","","-2.34%"
"18/07/2022","127.69","137.76","137.76","127.69","","-1.66%"
"15/07/2022","129.85","137.76","137.76","129.85","","-5.74%"
"14/07/2022","137.76","136.10","137.76","136.10","","1.22%"
"13/07/2022","136.10","148.11","148.11","136.10","","-8.11%"
"12/07/2022","148.11","147.72","148.11","147.72","","0.26%"
"11/07/2022","147.72","149.71","149.71","147.72","","1.70%"
"08/07/2022","145.25","149.71","149.71","145.25","","-2.98%"
"07/07/2022","149.71","151.14","151.14","149.71","","-0.95%"
"06/07/2022","151.14","156.16","156.16","151.14","","-3.21%"
"05/07/2022","156.16","144.17","156.16","144.17","","8.32%"
"01/07/2022","144.17","135.50","144.17","135.50","","6.40%"
"30/06/2022","135.50","130.43","135.50","130.43","","3.89%"
"29/06/2022","130.43","135.22","135.22","130.43","","-3.54%"
"28/06/2022","135.22","133.22","135.22","133.22","","1.50%"
"27/06/2022","133.22","125.98","133.22","125.98","","4.90%"
"24/06/2022","127.00","125.98","127.00","125.98","","0.81%"
"23/06/2022","125.98","129.94","129.94","125.98","","-3.05%"
"22/06/2022","129.94","138.91","138.91","129.94","","-6.46%"
"21/06/2022","138.91","133.75","138.91","133.75","","3.86%"
"17/06/2022","133.75","138.10","138.10","133.75","","-3.15%"
"16/06/2022","138.10","135.93","138.10","135.93","","1.60%"
"15/06/2022","135.93","144.09","144.09","135.93","","-5.66%"
"14/06/2022","144.09","139.21","144.09","139.21","","3.51%"
"13/06/2022","139.21","114.23","139.21","114.23","","21.87%"
"10/06/2022","114.23","105.29","114.23","105.29","","8.49%"
"09/06/2022","105.29","105.29","105.29","105.29","","0.00%"
"08/06/2022","105.29","102.61","105.29","102.61","","2.61%"
"07/06/2022","102.61","102.26","102.61","102.26","","0.34%"
"06/06/2022","102.26","99.27","102.26","99.27","","4.64%"
"03/06/2022","97.73","99.27","99.27","97.73","","-1.55%"
"02/06/2022","99.27","109.38","109.38","99.27","","-9.24%"
"01/06/2022","109.38","107.12","109.38","107.12","","2.11%"
"31/05/2022","107.12","98.48","107.12","98.48","","8.77%"
"27/05/2022","98.48","102.49","102.49","98.48","","-3.91%"
"26/05/2022","102.49","105.69","105.69","102.49","","-3.03%"
"25/05/2022","105.69","111.15","111.15","105.69","","-4.91%"
"24/05/2022","111.15","110.19","111.15","110.19","","0.87%"
"23/05/2022","110.19","115.05","115.05","110.19","","-0.82%"
"20/05/2022","111.10","115.05","115.05","111.10","","-3.43%"
"19/05/2022","115.05","114.86","115.05","114.86","","0.17%"
"18/05/2022","114.86","119.46","119.46","114.86","","-3.85%"
"17/05/2022","119.46","117.95","119.46","117.95","","1.28%"
"16/05/2022","117.95","118.73","118.73","117.95","","2.91%"
"13/05/2022","114.61","118.73","118.73","114.61","","-3.47%"
"12/05/2022","118.73","118.05","118.73","118.05","","0.58%"
"11/05/2022","118.05","126.76","126.76","118.05","","-6.87%"
"10/05/2022","126.76","125.22","126.76","125.22","","1.23%"
"09/05/2022","125.22","122.72","125.22","122.72","","3.13%"
"06/05/2022","121.42","122.72","122.72","121.42","","-1.06%"
"05/05/2022","122.72","121.99","122.72","121.99","","0.60%"
"04/05/2022","121.99","126.46","126.46","121.99","","-3.53%"
"03/05/2022","126.46","135.17","135.17","126.46","","-6.44%"
"02/05/2022","135.17","128.74","135.17","128.74","","5.27%"
"29/04/2022","128.40","128.74","128.74","128.40","","-0.26%"
"28/04/2022","128.74","130.11","130.11","128.74","","-1.05%"
"27/04/2022","130.11","129.27","130.11","129.27","","0.65%"
"26/04/2022","129.27","131.63","131.63","129.27","","-1.79%"
"25/04/2022","131.63","130.69","131.63","130.69","","2.74%"
"22/04/2022","128.12","130.69","130.69","128.12","","-1.97%"
"21/04/2022","130.69","125.12","130.69","125.12","","4.45%"
"20/04/2022","125.12","122.74","125.12","122.74","","1.94%"
"19/04/2022","122.74","122.32","122.74","122.32","","0.34%"
"18/04/2022","122.32","119.66","122.32","119.66","","2.22%"
