"Date","Price","Open","High","Low","Vol.","Change %"
"14/08/2018","154.49","154.39","154.60","154.39","60.43K","0.01%"
"13/08/2018","154.48","154.70","154.72","154.41","91.79K","-0.11%"
"10/08/2018","154.65","154.19","154.70","154.19","96.98K","0.35%"
"09/08/2018","154.11","153.86","154.15","153.84","74.25K","0.20%"
"08/08/2018","153.81","153.84","153.93","153.74","53.35K","0.03%"
"07/08/2018","153.77","153.83","154.00","153.71","52.05K","-0.15%"
"06/08/2018","154.00","153.76","154.04","153.59","63.23K","0.22%"
"03/08/2018","153.66","153.10","153.68","153.09","116.71K","0.39%"
"02/08/2018","153.06","153.15","153.29","153.01","166.83K","0.05%"
"01/08/2018","152.99","153.59","153.59","152.93","155.71K","-0.48%"
"31/07/2018","153.73","154.00","154.08","153.52","142.21K","0.18%"
"30/07/2018","153.46","154.08","154.23","153.38","118.17K","-0.41%"
"27/07/2018","154.09","154.08","154.25","154.03","85.51K","-0.06%"
"26/07/2018","154.19","154.03","154.36","153.91","82.07K","-0.08%"
"25/07/2018","154.32","154.23","154.42","154.19","73.83K","0.08%"
"24/07/2018","154.19","153.99","154.22","153.74","89.15K","0.14%"
"23/07/2018","153.98","154.25","154.38","153.89","132.83K","-0.28%"
"20/07/2018","154.41","155.16","155.16","154.25","107.69K","-0.41%"
"19/07/2018","155.05","154.88","155.14","154.79","103.59K","0.00%"
"18/07/2018","155.05","154.97","155.29","154.94","68.55K","0.01%"
"17/07/2018","155.03","154.66","155.06","154.66","72.23K","0.27%"
"16/07/2018","154.62","155.10","155.13","154.58","53.00K","-0.33%"
"13/07/2018","155.13","154.84","155.28","154.81","69.80K","0.14%"
"12/07/2018","154.92","154.78","154.95","154.61","77.79K","0.11%"
"11/07/2018","154.75","154.73","154.98","154.62","73.90K","0.05%"
"10/07/2018","154.67","154.71","154.77","154.53","78.67K","-0.06%"
"09/07/2018","154.77","154.75","154.86","154.57","55.90K","-0.05%"
"06/07/2018","154.85","154.67","154.98","154.65","65.29K","0.01%"
"05/07/2018","154.83","154.45","154.85","154.23","165.71K","0.07%"
"04/07/2018","154.72","154.78","154.94","154.56","63.94K","-0.06%"
"03/07/2018","154.81","154.59","154.87","154.38","124.99K","0.10%"
"02/07/2018","154.66","154.32","154.67","154.32","97.69K","0.08%"
"29/06/2018","154.54","153.70","154.58","153.70","148.44K","0.27%"
"28/06/2018","154.12","153.88","154.17","153.77","98.03K","0.17%"
"27/06/2018","153.86","153.51","153.93","153.50","135.55K","0.20%"
"26/06/2018","153.56","153.61","153.81","153.36","139.12K","-0.17%"
"25/06/2018","153.82","154.04","154.13","153.68","96.55K","-0.05%"
"22/06/2018","153.89","153.87","153.99","153.80","87.57K","-0.04%"
"21/06/2018","153.95","153.67","154.16","153.67","176.52K","0.07%"
"20/06/2018","153.84","153.73","154.02","153.73","101.89K","-0.03%"
"19/06/2018","153.89","153.84","154.19","153.76","146.46K","0.18%"
"18/06/2018","153.62","153.48","153.74","153.30","120.50K","0.04%"
"15/06/2018","153.56","153.07","153.78","153.04","181.80K","0.37%"
"14/06/2018","153.00","151.88","153.10","151.55","210.40K","0.64%"
"13/06/2018","152.03","151.52","152.08","151.46","111.67K","0.40%"
"12/06/2018","151.43","151.24","151.50","151.04","142.76K","0.18%"
"11/06/2018","151.16","151.45","151.62","151.00","119.05K","-0.30%"
"08/06/2018","151.62","151.64","152.10","151.51","174.06K","-1.08%"
"07/06/2018","153.28","153.64","153.64","153.19","13.68K","-0.36%"
"06/06/2018","153.84","154.88","154.91","153.66","120.45K","-0.84%"
"05/06/2018","155.14","154.75","155.29","154.73","383.02K","0.26%"
"04/06/2018","154.74","155.13","155.23","154.70","327.71K","-0.24%"
"01/06/2018","155.12","155.48","155.73","154.82","235.48K","-0.37%"
"31/05/2018","155.70","155.39","155.75","154.88","261.64K","0.24%"
"30/05/2018","155.33","156.01","156.06","155.01","265.86K","-0.29%"
"29/05/2018","155.78","155.20","155.94","154.92","338.78K","0.35%"
"28/05/2018","155.24","155.12","155.35","154.61","172.12K","0.17%"
"25/05/2018","154.97","154.25","155.12","154.20","290.24K","0.38%"
"24/05/2018","154.38","153.74","154.45","153.63","193.33K","0.42%"
"23/05/2018","153.73","153.43","154.01","153.38","245.90K","0.30%"
"22/05/2018","153.27","153.53","153.65","153.24","189.57K","-0.02%"
"21/05/2018","153.30","153.25","153.71","153.16","180.82K","-0.01%"
"18/05/2018","153.32","152.72","153.40","152.72","146.11K","0.34%"
"17/05/2018","152.80","152.91","153.18","152.55","190.06K","-0.15%"
"16/05/2018","153.03","152.92","153.32","152.85","191.79K","0.12%"
"15/05/2018","152.85","153.19","153.25","152.78","126.75K","-0.24%"
"14/05/2018","153.22","153.95","154.01","153.19","131.77K","-0.40%"
