"Date","Price","Open","High","Low","Vol.","Change %"
"25/02/2022","126.25","126.45","126.67","126.00","829.64K","-0.17%"
"24/02/2022","126.47","126.19","127.39","126.19","3.77M","0.15%"
"23/02/2022","126.28","126.52","126.61","126.09","3.84M","-0.15%"
"22/02/2022","126.47","126.80","127.28","126.38","4.43M","-0.53%"
"21/02/2022","127.14","126.81","127.22","126.47","657.04K","0.26%"
"20/02/2022","126.81","126.77","126.92","126.73","30.42K","0.11%"
"18/02/2022","126.67","126.48","126.80","126.22","1.76M","0.20%"
"17/02/2022","126.42","125.80","126.48","125.78","2.03M","0.48%"
"16/02/2022","125.81","125.70","126.03","125.64","1.81M","0.06%"
"15/02/2022","125.73","126.03","126.20","125.58","1.82M","-0.20%"
"14/02/2022","125.98","126.52","126.80","125.78","2.32M","-0.32%"
"11/02/2022","126.39","125.75","126.73","125.59","3.00M","0.47%"
"10/02/2022","125.80","126.64","126.81","125.55","3.16M","-0.75%"
"09/02/2022","126.75","126.48","126.92","126.42","1.68M","0.13%"
"08/02/2022","126.58","126.89","126.92","126.47","1.56M","-0.26%"
"07/02/2022","126.91","126.84","127.03","126.70","1.28M","0.11%"
"04/02/2022","126.77","127.58","127.75","126.73","2.15M","-0.68%"
"03/02/2022","127.64","128.03","128.23","127.50","1.65M","-0.37%"
"02/02/2022","128.12","127.88","128.30","127.77","1.36M","0.19%"
"01/02/2022","127.88","128.02","128.36","127.69","1.70M","-0.07%"
"31/01/2022","127.97","127.91","128.05","127.67","1.85M","0.02%"
"28/01/2022","127.95","127.67","128.03","127.33","1.89M","0.23%"
"27/01/2022","127.66","127.34","127.88","127.28","2.22M","0.11%"
"26/01/2022","127.52","128.20","128.27","127.20","1.96M","-0.47%"
"25/01/2022","128.12","128.20","128.53","128.03","1.74M","-0.31%"
"24/01/2022","128.52","128.22","128.70","127.98","2.16M","0.16%"
"21/01/2022","128.31","127.91","128.50","127.88","2.11M","0.48%"
"20/01/2022","127.70","127.34","127.95","127.25","1.48M","0.02%"
"19/01/2022","127.67","127.30","127.73","127.06","1.96M","0.23%"
"18/01/2022","127.38","128.03","128.05","127.25","2.52M","-0.39%"
"17/01/2022","127.88","127.77","127.88","127.73","377.65K","0.02%"
"16/01/2022","127.84","128.02","128.03","127.83","44.94K","-0.27%"
"14/01/2022","128.19","128.75","128.80","128.03","1.63M","-0.41%"
"13/01/2022","128.72","128.38","128.84","128.25","1.33M","0.11%"
"12/01/2022","128.58","128.47","128.70","128.33","1.52M","0.15%"
"11/01/2022","128.39","128.27","128.47","128.03","1.68M","0.20%"
"10/01/2022","128.14","128.33","128.38","127.94","1.56M","-0.12%"
"07/01/2022","128.30","128.62","128.75","128.03","1.96M","-0.18%"
"06/01/2022","128.53","128.84","129.00","128.44","1.79M","-0.24%"
"05/01/2022","128.84","129.39","129.44","128.80","1.70M","-0.34%"
"04/01/2022","129.28","129.50","129.59","129.12","1.70M","-0.12%"
"03/01/2022","129.44","130.33","130.34","129.39","1.43M","-0.79%"
"31/12/2021","130.47","130.44","130.58","130.31","759.83K","0.05%"
"30/12/2021","130.41","130.19","130.50","130.17","810.92K","0.15%"
"29/12/2021","130.22","130.62","130.73","130.09","971.68K","-0.30%"
"28/12/2021","130.61","130.59","130.77","130.52","550.23K","0.04%"
"27/12/2021","130.56","130.50","130.67","130.41","471.86K","0.01%"
"23/12/2021","130.55","130.73","130.81","130.47","557.41K","-0.14%"
"22/12/2021","130.73","130.75","130.89","130.53","760.01K","-0.37%"
"21/12/2021","131.22","131.83","131.91","131.17","0.96K","-0.46%"
"20/12/2021","131.83","131.98","132.19","131.77","1.60K","0.53%"
"18/12/2021","131.14","131.14","131.14","131.14","","-0.52%"
"17/12/2021","131.83","131.72","132.06","131.72","1.11K","0.05%"
"16/12/2021","131.77","131.20","131.75","131.14","3.30K","0.47%"
"15/12/2021","131.16","131.34","131.41","130.94","4.32K","-0.11%"
"14/12/2021","131.30","131.47","131.55","131.17","4.98K","-0.17%"
"13/12/2021","131.52","131.12","131.59","130.97","4.72K","0.85%"
"11/12/2021","130.41","130.41","130.41","130.41","","-0.52%"
"10/12/2021","131.09","131.05","131.38","130.78","3.30K","0.01%"
"09/12/2021","131.08","130.88","131.23","130.70","7.91K","0.12%"
"08/12/2021","130.92","131.19","131.42","130.67","8.46K","-0.08%"
"07/12/2021","131.03","131.44","131.45","131.00","7.63K","-0.24%"
"06/12/2021","131.34","131.92","131.92","131.31","10.65K","-0.50%"
"04/12/2021","132.00","132.00","132.00","131.36","21.44K","-0.09%"
"03/12/2021","132.12","131.47","132.27","131.14","21.44K","0.62%"
"02/12/2021","131.31","131.73","131.78","131.19","30.33K","-0.25%"
"01/12/2021","131.64","131.47","131.84","130.95","55.99K","0.07%"
