"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2021","129.44","129.05","129.67","128.94","357.86K","0.26%"
"06/07/2021","129.10","128.07","129.12","128.03","364.99K","0.72%"
"05/07/2021","128.18","128.30","128.31","128.06","112.87K","-0.08%"
"02/07/2021","128.28","128.04","128.43","128.03","199.93K","0.20%"
"01/07/2021","128.02","127.99","128.15","127.82","221.93K","-0.06%"
"30/06/2021","128.10","128.03","128.21","127.86","251.50K","0.11%"
"29/06/2021","127.96","128.02","128.04","127.74","224.85K","-0.55%"
"28/06/2021","128.67","127.54","128.10","127.51","0.40K","0.08%"
"25/06/2021","128.57","128.88","128.88","128.88","0.01K","-0.24%"
"24/06/2021","128.88","128.81","128.85","128.81","0.20K","0.31%"
"23/06/2021","128.48","127.34","127.61","127.27","0.14K","0.01%"
"22/06/2021","128.47","128.48","128.48","128.48","0.00K","-0.14%"
"21/06/2021","128.65","129.08","129.08","128.59","1.24K","-0.05%"
"18/06/2021","128.72","127.64","127.81","127.31","0.01K","0.28%"
"17/06/2021","128.36","128.40","128.61","128.20","0.51K","-0.36%"
"16/06/2021","128.82","128.75","128.88","128.74","0.10K","0.12%"
"15/06/2021","128.67","129.00","129.00","128.66","0.09K","-0.22%"
"14/06/2021","128.95","129.15","129.21","128.85","0.11K","-0.18%"
"11/06/2021","129.18","129.16","129.38","129.16","0.35K","0.36%"
"10/06/2021","128.72","128.84","128.93","128.47","0.32K","-0.19%"
"09/06/2021","128.96","128.72","129.15","128.62","0.29K","0.34%"
"08/06/2021","128.52","128.23","128.57","128.19","0.16K","0.26%"
"07/06/2021","128.19","128.27","128.27","128.12","0.42K","-0.09%"
"04/06/2021","128.31","127.86","128.34","127.84","3.99K","0.33%"
"03/06/2021","127.89","128.12","128.12","127.75","4.70K","-0.24%"
"02/06/2021","128.20","127.00","128.24","127.62","2.32K","0.24%"
"01/06/2021","127.89","128.17","128.17","127.89","2.52K","-0.30%"
"28/05/2021","128.27","127.84","128.38","127.84","7.79K","0.17%"
"27/05/2021","128.05","128.69","128.69","127.92","30.93K","-0.51%"
"26/05/2021","128.70","128.43","128.76","128.36","271.02K","0.30%"
"25/05/2021","128.31","128.27","128.37","128.05","773.07K","0.18%"
"24/05/2021","128.08","127.92","128.14","127.82","599.64K","0.20%"
"21/05/2021","127.82","127.80","127.99","127.56","335.38K","0.07%"
"20/05/2021","127.73","127.47","127.82","127.38","220.24K","-0.01%"
"19/05/2021","127.74","127.38","127.80","127.12","273.85K","0.20%"
"18/05/2021","127.49","127.44","127.70","127.20","247.45K","0.05%"
"17/05/2021","127.42","127.70","127.77","127.28","179.91K","-0.01%"
"14/05/2021","127.43","127.18","127.69","127.12","214.52K","0.28%"
"13/05/2021","127.08","127.31","127.34","126.86","231.93K","-0.10%"
"12/05/2021","127.21","127.83","128.07","127.15","286.49K","-0.44%"
"11/05/2021","127.77","128.08","128.08","127.69","307.31K","-0.40%"
"10/05/2021","128.28","128.00","128.31","127.98","180.80K","-0.19%"
"07/05/2021","128.52","128.25","128.80","128.07","248.64K","0.19%"
"06/05/2021","128.27","128.10","128.51","127.78","281.35K","0.25%"
"05/05/2021","127.95","127.98","128.09","127.73","257.94K","-0.17%"
"04/05/2021","128.17","127.67","128.27","127.53","269.48K","0.39%"
"30/04/2021","127.67","127.77","127.86","127.58","247.55K","0.03%"
"29/04/2021","127.63","128.05","128.11","127.40","241.38K","-0.38%"
"28/04/2021","128.12","128.10","128.18","127.62","298.84K","-0.23%"
"27/04/2021","128.41","128.49","128.59","128.32","310.14K","-0.11%"
"26/04/2021","128.55","128.42","128.66","128.33","190.19K","-0.05%"
"23/04/2021","128.61","129.04","129.09","128.52","200.82K","-0.15%"
"22/04/2021","128.80","128.84","128.94","128.58","172.72K","0.10%"
"21/04/2021","128.67","128.88","128.96","128.53","240.87K","-0.07%"
"20/04/2021","128.76","128.29","128.88","128.29","237.59K","0.16%"
"19/04/2021","128.55","128.51","128.70","128.26","195.86K","0.09%"
"16/04/2021","128.44","128.56","128.62","128.33","167.05K","-0.29%"
"15/04/2021","128.82","127.97","128.90","127.93","221.98K","0.62%"
"14/04/2021","128.03","128.46","128.47","127.81","215.80K","-0.14%"
"13/04/2021","128.21","128.00","128.37","127.92","232.71K","0.07%"
"12/04/2021","128.12","128.36","128.48","128.03","152.12K","-0.09%"
"09/04/2021","128.24","128.46","128.50","127.98","187.60K","-0.19%"
"08/04/2021","128.48","128.20","128.66","128.12","216.15K","0.22%"
"07/04/2021","128.20","128.39","128.43","128.12","242.50K","0.09%"
"06/04/2021","128.09","127.79","128.15","127.62","217.76K","0.02%"
"01/04/2021","128.07","127.32","128.11","127.32","205.42K","0.38%"
"31/03/2021","127.59","127.63","127.85","127.40","313.76K","0.01%"
"30/03/2021","127.58","127.66","127.78","127.42","313.22K","-1.48%"
"29/03/2021","129.49","129.50","129.51","129.48","49.00K","-0.03%"
"26/03/2021","129.53","129.42","129.42","129.35","34.25K","-0.12%"
"25/03/2021","129.69","129.67","129.67","129.67","0.01K","0.15%"
"24/03/2021","129.50","128.77","128.82","128.25","0.18K","0.15%"
"23/03/2021","129.31","129.07","129.09","129.07","0.20K","0.42%"
"22/03/2021","128.77","127.82","127.89","127.55","0.01K","0.17%"
"19/03/2021","128.55","127.53","127.84","127.34","0.20K","0.30%"
"18/03/2021","128.16","127.28","127.34","126.80","0.09K","-0.35%"
"17/03/2021","128.61","128.96","128.96","128.55","0.36K","-0.39%"
